# ● Daftar Mode Skenario (Kaisou Mode),,,,

#Nama file thumbnail,Nama file sumber thumbnail （untuk pembuatan otomatis）,File mulai*Label pindah*Label mulai,[[File selesai]*Label selesai*Label buka|@Flag],

thum_dc5_mzh19601119c,,dc5_mzh19601119c.ks*dc5_mzh19601119c_START,@dc5_mzh19601119c,Tak Terduga! Di Luar Perkiraan! Masalah Mendadak!

thum_dc5_mzh19601120a1,,dc5_mzh19601120a1.ks*dc5_mzh19601120a1_START,@dc5_mzh19601120a1,Rasanya Agak Malu Ya

thum_dc5_mzh19601120a2,,dc5_mzh19601120a2.ks*dc5_mzh19601120a2_START,@dc5_mzh19601120a2,Arah Pengakuan Cinta

thum_dc5_mzh19601120d,,dc5_mzh19601120d.ks*dc5_mzh19601120d_START,@dc5_mzh19601120d,Hal yang Mengganjal Pikiran Hanya Satu

thum_dc5_mzh19601121a,,dc5_mzh19601121a.ks*dc5_mzh19601121a_START,@dc5_mzh19601121a,Topik Paling Hangat

thum_dc5_mzh19601121b,,dc5_mzh19601121b.ks*dc5_mzh19601121b_START,@dc5_mzh19601121b,Diberkahi Teman-teman Usil

thum_dc5_mzh19601122c,,dc5_mzh19601122c.ks*dc5_mzh19601122c_START,@dc5_mzh19601122c,Souma Dilarang Masuk

thum_dc5_mzh19601122d,,dc5_mzh19601122d.ks*dc5_mzh19601122d_START,@dc5_mzh19601122d,Kumpul Rahasia Para Gadis Bagian 1

thum_dc5_mzh19601123a,,dc5_mzh19601123a.ks*dc5_mzh19601123a_START,@dc5_mzh19601123a,"Pasti Sudah Dipikirkan Baik-baik, Tapi"

thum_dc5_mzh19601123b,,dc5_mzh19601123b.ks*dc5_mzh19601123b_START,@dc5_mzh19601123b,Hubungan dengan Touko-nee

thum_dc5_mzh19601126b,,dc5_mzh19601126b.ks*dc5_mzh19601126b_START,@dc5_mzh19601126b,Hasil dari Pertarungan Telak?

thum_dc5_mzh19601127b,,dc5_mzh19601127b.ks*dc5_mzh19601127b_START,@dc5_mzh19601127b,Perasaan Sedang Jatuh Cinta

thum_dc5_mzh19601128a,,dc5_mzh19601128a.ks*dc5_mzh19601128a_START,@dc5_mzh19601128a,Ujian Tengah Semester Itu Apa?

thum_dc5_mzh19601129b,,dc5_mzh19601129b.ks*dc5_mzh19601129b_START,@dc5_mzh19601129b,Saatnya Menghadapi Persiapan Ujian

thum_dc5_mzh19601129d,,dc5_mzh19601129d.ks*dc5_mzh19601129d_START,@dc5_mzh19601129d,Kumpul Rahasia Para Gadis Bagian 2

thum_dc5_mzh19601130d,,dc5_mzh19601130d.ks*dc5_mzh19601130d_START,@dc5_mzh19601130d,Pertanyaan pada Diri Sendiri Apakah Ini Bernama Belajar

thum_dc5_mzh19601201b,,dc5_mzh19601201b.ks*dc5_mzh19601201b_START,@dc5_mzh19601201b,Kelompok Belajar yang Menggebu-gebu di Kelas

thum_dc5_mzh19601205a,,dc5_mzh19601205a.ks*dc5_mzh19601205a_START,@dc5_mzh19601205a,Hasil Belajar untuk Ujian Adalah...

thum_dc5_mzh19601209c,,dc5_mzh19601209c.ks*dc5_mzh19601209c_START,@dc5_mzh19601209c,Dengan Suasana yang Sedikit Berbeda dari Biasanya

thum_dc5_mzh19601210d,,dc5_mzh19601210d.ks*dc5_mzh19601210d_START,@dc5_mzh19601210d,Kumpul Rahasia Para Gadis Bagian 3

thum_dc5_mzh19601211b,,dc5_mzh19601211b.ks*dc5_mzh19601211b_START,@dc5_mzh19601211b,Mizuha yang Aktif di Lapangan Tenis

thum_dc5_mzh19601211d,,dc5_mzh19601211d.ks*dc5_mzh19601211d_START,@dc5_mzh19601211d,Hal yang Terlintas di Benak Hanya Satu

thum_dc5_mzh19601213b,,dc5_mzh19601213b.ks*dc5_mzh19601213b_START,@dc5_mzh19601213b,Opini Publik yang Mulai Terbentuk

thum_dc5_mzh19601216c,,dc5_mzh19601216c.ks*dc5_mzh19601216c_START,@dc5_mzh19601216c,Sebentar Lagi Natal

thum_dc5_mzh19601219c,,dc5_mzh19601219c.ks*dc5_mzh19601219c_START,@dc5_mzh19601219c,Poko-taro dan Kekasih

thum_dc5_mzh19601222d,,dc5_mzh19601222d.ks*dc5_mzh19601222d_START,@dc5_mzh19601222d,Waktu yang Sangat Tepat

thum_dc5_mzh19601223d,,dc5_mzh19601223d.ks*dc5_mzh19601223d_START,@dc5_mzh19601223d,"Besok, Setelah Upacara Penutupan Semester"

thum_dc5_mzh19601224b,,dc5_mzh19601224b.ks*dc5_mzh19601224b_START,@dc5_mzh19601224b,Masih Belum Diucapkan Kepadaku

thum_dc5_mzh19601224d,,dc5_mzh19601224d.ks*dc5_mzh19601224d_START,@dc5_mzh19601224d,Syukurlah Hari Itu Kita Berdua yang Bertemu

thum_dc5_mzh19601225a,,dc5_mzh19601225a.ks*dc5_mzh19601225a_START,@dc5_mzh19601225a,Mungkin Latihan Seperti Ini Boleh Juga

thum_dc5_mzh19601225b,,dc5_mzh19601225b.ks*dc5_mzh19601225b_START,@dc5_mzh19601225b,Hanya dengan Berada Bersama

thum_dc5_mzh19601228a,,dc5_mzh19601228a.ks*dc5_mzh19601228a_START,@dc5_mzh19601228a,Arti dari Berada Bersama Selamanya

thum_dc5_mzh19601228b,,dc5_mzh19601228b.ks*dc5_mzh19601228b_START,@dc5_mzh19601228b,Permintaan dari Touko-nee

thum_dc5_mzh19601230b,,dc5_mzh19601230b.ks*dc5_mzh19601230b_START,@dc5_mzh19601230b,Orang yang Ada di Sampingku Saat Itu Adalah

thum_dc5_mzh19610101a,,dc5_mzh19610101a.ks*dc5_mzh19610101a_START,@dc5_mzh19610101a,Pettan

thum_dc5_mzh19610102c,,dc5_mzh19610102c.ks*dc5_mzh19610102c_START,@dc5_mzh19610102c,Rekomendasi Novel Romansa

thum_dc5_mzh19610102d,,dc5_mzh19610102d.ks*dc5_mzh19610102d_START,@dc5_mzh19610102d,Perasaan Seharusnya Disampaikan dengan Jujur

thum_dc5_mzh19610104d,,dc5_mzh19610104d.ks*dc5_mzh19610104d_START,@dc5_mzh19610104d,Kejadian Tak Terduga di Kamar Mandi

thum_dc5_mzh19610109a,,dc5_mzh19610109a.ks*dc5_mzh19610109a_START,@dc5_mzh19610109a,Jadi Begitulah Halnya

thum_dc5_mzh19610109c,,dc5_mzh19610109c.ks*dc5_mzh19610109c_START,@dc5_mzh19610109c,Bertanggung Jawab Sampai Akhir

thum_dc5_mzh19610111c,,dc5_mzh19610111c.ks*dc5_mzh19610111c_START,@dc5_mzh19610111c,Ada Pergerakan Mengenai Hal Tersebut

thum_dc5_mzh19610112c,,dc5_mzh19610112c.ks*dc5_mzh19610112c_START,@dc5_mzh19610112c,Kejadian Tak Terduga di Perpustakaan

thum_dc5_mzh19610115c,,dc5_mzh19610115c.ks*dc5_mzh19610115c_START,@dc5_mzh19610115c,Banyak Hal yang Ingin Kulakukan

thum_dc5_mzh19610117a,,dc5_mzh19610117a.ks*dc5_mzh19610117a_START,@dc5_mzh19610117a,Bisakah Kita Bertemu Lagi?

thum_dc5_mzh19610117b,,dc5_mzh19610117b.ks*dc5_mzh19610117b_START,@dc5_mzh19610117b,Pohon Sakura yang Lapuk

thum_dc5_mzh19610118a1,,dc5_mzh19610118a1.ks*dc5_mzh19610118a1_START,@dc5_mzh19610118a1,Cinta Itu... Tidak Boleh Kulakukan

thum_dc5_mzh19610118a2,,dc5_mzh19610118a2.ks*dc5_mzh19610118a2_START,@dc5_mzh19610118a2,Kesalahpahaman dengan Mizuha

thum_dc5_mzh19610120c,,dc5_mzh19610120c.ks*dc5_mzh19610120c_START,@dc5_mzh19610120c,Hal yang Terlintas di Benak Adalah...

thum_dc5_mzh19610121a,,dc5_mzh19610121a.ks*dc5_mzh19610121a_START,@dc5_mzh19610121a,Hal yang Tidak Bisa Dibicarakan?

thum_dc5_mzh19610121d,,dc5_mzh19610121d.ks*dc5_mzh19610121d_START,@dc5_mzh19610121d,Terima Kasih untuk Selama Ini

thum_dc5_mzh19610122a,,dc5_mzh19610122a.ks*dc5_mzh19610122a_START,@dc5_mzh19610122a,Arti Keberadaanku Dilahirkan

thum_dc5_mzh19610122a2,,dc5_mzh19610122a2.ks*dc5_mzh19610122a2_START,@dc5_mzh19610122a2,Keberadaan Mizuha dan Tekadnya

thum_dc5_mzh19610122d,,dc5_mzh19610122d.ks*dc5_mzh19610122d_START,@dc5_mzh19610122d,Harmoni Dunia dan Misi Sang Gadis

thum_dc5_mzh19610302b,,dc5_mzh19610302b.ks*dc5_mzh19610302b_START,@dc5_mzh19610302b,Perpisahan Menuju Masa Depan

thum_dc5_mzh99999999a,,dc5_mzh99999999a.ks*dc5_mzh99999999a_START,@dc5_mzh99999999a,Kita Bisa Bertemu Lagi

thum_dc5_gep19610333a6,,dc5_gep19610333a6.ks*dc5_gep19610333a6_START,@dc5_gep19610333a6,Jalan Menuju Penyihir Agung

"#,,,,",,,,

:,Anoa,,,

thum_dc5_mna19601102c,,dc5_mna19601102c.ks*dc5_mna19601102c_START,@dc5_mna19601102c,Meskipun Sudah Menjadi Festival Olahraga

thum_dc5_mna19601103a,,dc5_mna19601103a.ks*dc5_mna19601103a_START,@dc5_mna19601103a,Perjalanan Misterius dan Janji Hari Itu

thum_dc5_mna19601103c,,dc5_mna19601103c.ks*dc5_mna19601103c_START,@dc5_mna19601103c,Formasi Menuju Kemenangan

thum_dc5_mna19601103d,,dc5_mna19601103d.ks*dc5_mna19601103d_START,@dc5_mna19601103d,Cabang Lomba yang Diikuti?

thum_dc5_mna19601104a,,dc5_mna19601104a.ks*dc5_mna19601104a_START,@dc5_mna19601104a,Berharap dan Melangkah Maju

thum_dc5_mna19601104c,,dc5_mna19601104c.ks*dc5_mna19601104c_START,@dc5_mna19601104c,Sebagai Pengganti Anoa

thum_dc5_mna19601104d,,dc5_mna19601104d.ks*dc5_mna19601104d_START,@dc5_mna19601104d,"Kalau Bisa, Bersama Anoa"

thum_dc5_mna19601107a,,dc5_mna19601107a.ks*dc5_mna19601107a_START,@dc5_mna19601107a,Tugas Berat Menjadi Bantalan

thum_dc5_mna19601110c,,dc5_mna19601110c.ks*dc5_mna19601110c_START,@dc5_mna19601110c,Pasti Akan Datang

thum_dc5_mna19601111d,,dc5_mna19601111d.ks*dc5_mna19601111d_START,@dc5_mna19601111d,Hari Peringatan yang Terlupakan

thum_dc5_mna19601115c,,dc5_mna19601115c.ks*dc5_mna19601115c_START,@dc5_mna19601115c,Tongkat Estafet Terakhir dari Anoa

thum_dc5_mna19601116d,,dc5_mna19601116d.ks*dc5_mna19601116d_START,@dc5_mna19601116d,Jika Sedang Ingin Saja

thum_dc5_mna19601117c,,dc5_mna19601117c.ks*dc5_mna19601117c_START,@dc5_mna19601117c,Segala Persiapan yang Memungkinkan

thum_dc5_mna19601118b,,dc5_mna19601118b.ks*dc5_mna19601118b_START,@dc5_mna19601118b,Masa Muda yang Lolos di Detik Terakhir

thum_dc5_mna19601203c,,dc5_mna19601203c.ks*dc5_mna19601203c_START,@dc5_mna19601203c,Kenyataan yang Tak Bisa Dihindari

thum_dc5_mna19601209c,,dc5_mna19601209c.ks*dc5_mna19601209c_START,@dc5_mna19601209c,Sosok yang Ingin Kuikuti

thum_dc5_mna19601224c,,dc5_mna19601224c.ks*dc5_mna19601224c_START,@dc5_mna19601224c,"Sebagai Tunangan, Teman, dan Keluarga"

thum_dc5_mna19601224d,,dc5_mna19601224d.ks*dc5_mna19601224d_START,@dc5_mna19601224d,Paha Ayam dan Hari Natal

thum_dc5_mna19601231d,,dc5_mna19601231d.ks*dc5_mna19601231d_START,@dc5_mna19601231d,Setidaknya di Malam Tahun Baru

thum_dc5_mna19610102a,,dc5_mna19610102a.ks*dc5_mna19610102a_START,@dc5_mna19610102a,Punggung yang Kukejar pada Hari Itu

thum_dc5_mna19610102b,,dc5_mna19610102b.ks*dc5_mna19610102b_START,@dc5_mna19610102b,Usaha Keras Demi Tetap Menjadi Sang Jenius

thum_dc5_mna19610107b,,dc5_mna19610107b.ks*dc5_mna19610107b_START,@dc5_mna19610107b,Yang Ribut Saat Turun Salju Hanya Anjing dan Orang Bodoh?

thum_dc5_mna19610117a,,dc5_mna19610117a.ks*dc5_mna19610117a_START,@dc5_mna19610117a,Yang Terbayang Bersama Sakura Adalah...

thum_dc5_mna19610122a,,dc5_mna19610122a.ks*dc5_mna19610122a_START,@dc5_mna19610122a,Hal yang Kembali dan Hal yang Hilang

thum_dc5_mna19610123d,,dc5_mna19610123d.ks*dc5_mna19610123d_START,@dc5_mna19610123d,Ancaman yang Nyata Terlihat

thum_dc5_mna19610124a,,dc5_mna19610124a.ks*dc5_mna19610124a_START,@dc5_mna19610124a,"Bukan Masalah Usaha, Tapi Bakat Alami"

thum_dc5_mna19610128a,,dc5_mna19610128a.ks*dc5_mna19610128a_START,@dc5_mna19610128a,Meski Harus Menapaki Tangga Selangkah Demi Selangkah

thum_dc5_mna19610201a,,dc5_mna19610201a.ks*dc5_mna19610201a_START,@dc5_mna19610201a,Hal yang Bisa Kulakukan Demi Dirinya

thum_dc5_mna19610202b,,dc5_mna19610202b.ks*dc5_mna19610202b_START,@dc5_mna19610202b,Informasi yang Mengkhawatirkan

thum_dc5_mna19610202d,,dc5_mna19610202d.ks*dc5_mna19610202d_START,@dc5_mna19610202d,Harus Berusaha Lebih Keras Lagi

thum_dc5_mna19610204d,,dc5_mna19610204d.ks*dc5_mna19610204d_START,@dc5_mna19610204d,Apakah Ada yang Bisa Kulakukan

thum_dc5_mna19610206a,,dc5_mna19610206a.ks*dc5_mna19610206a_START,@dc5_mna19610206a,Keretakan yang Terbuka

thum_dc5_mna19610206d,,dc5_mna19610206d.ks*dc5_mna19610206d_START,@dc5_mna19610206d,Makan Malam yang Sepi

thum_dc5_mna19610207a,,dc5_mna19610207a.ks*dc5_mna19610207a_START,@dc5_mna19610207a,Jangan Sampai Ini Menjadi Hal Biasa

thum_dc5_mna19610207c,,dc5_mna19610207c.ks*dc5_mna19610207c_START,@dc5_mna19610207c,Padahal Hasilnya Bagus

thum_dc5_mna19610208b,,dc5_mna19610208b.ks*dc5_mna19610208b_START,@dc5_mna19610208b,Mencari Tahu Alasan di Balik Tindakannya

thum_dc5_mna19610208c,,dc5_mna19610208c.ks*dc5_mna19610208c_START,@dc5_mna19610208c,Bukan Sesuatu yang Ditentukan Orang Lain

thum_dc5_mna19610208d1,,dc5_mna19610208d1.ks*dc5_mna19610208d1_START,@dc5_mna19610208d1,Anak yang Tersesat

thum_dc5_mna19610208d2,,dc5_mna19610208d2.ks*dc5_mna19610208d2_START,@dc5_mna19610208d2,Karena Sudah Berjanji

thum_dc5_mna19610208d3,,dc5_mna19610208d3.ks*dc5_mna19610208d3_START,@dc5_mna19610208d3,"Jika Membandingkan Harganya, Pilihan Akan Terlihat dengan Sendirinya"

thum_dc5_mna19610209a,,dc5_mna19610209a.ks*dc5_mna19610209a_START,@dc5_mna19610209a,Pagi yang Ramai Setelah Sekian Lama

thum_dc5_mna19610209b,,dc5_mna19610209b.ks*dc5_mna19610209b_START,@dc5_mna19610209b,Hal yang Dilakukan Pasangan Kekasih di Siang Hari

thum_dc5_mna19610209c,,dc5_mna19610209c.ks*dc5_mna19610209c_START,@dc5_mna19610209c,Pacar Laki-laki dan Pacar Perempuan

thum_dc5_mna19610210a,,dc5_mna19610210a.ks*dc5_mna19610210a_START,@dc5_mna19610210a,Nyaa~

thum_dc5_mna19610210b,,dc5_mna19610210b.ks*dc5_mna19610210b_START,@dc5_mna19610210b,Berharga? Atau Tidak Berharga?

thum_dc5_mna19610210c,,dc5_mna19610210c.ks*dc5_mna19610210c_START,@dc5_mna19610210c,Hal yang Ingin Dilakukan Bersama Kakak-Adik

thum_dc5_mna19610211b,,dc5_mna19610211b.ks*dc5_mna19610211b_START,@dc5_mna19610211b,Ungkapan Terima Kasih Sebagai Hadiah

thum_dc5_mna19610211c,,dc5_mna19610211c.ks*dc5_mna19610211c_START,@dc5_mna19610211c,Hal yang Disadari dari Tangan yang Bergandengan

thum_dc5_mna19610212a,,dc5_mna19610212a.ks*dc5_mna19610212a_START,@dc5_mna19610212a,Alasan Tidak Bisa Fokus

thum_dc5_mna19610213c,,dc5_mna19610213c.ks*dc5_mna19610213c_START,@dc5_mna19610213c,Estetika untuk Tidak Membongkar Rahasia

thum_dc5_mna19610214c,,dc5_mna19610214c.ks*dc5_mna19610214c_START,@dc5_mna19610214c,"Bukan 'Lumayan', Melainkan..."

thum_dc5_mna19610215a,,dc5_mna19610215a.ks*dc5_mna19610215a_START,@dc5_mna19610215a,Penyelidik yang Sangat Handal

thum_dc5_mna19610216c,,dc5_mna19610216c.ks*dc5_mna19610216c_START,@dc5_mna19610216c,Hal yang Jauh Lebih Penting

thum_dc5_mna19610217c,,dc5_mna19610217c.ks*dc5_mna19610217c_START,@dc5_mna19610217c,Kekuatan Cinta?

thum_dc5_mna19610218c,,dc5_mna19610218c.ks*dc5_mna19610218c_START,@dc5_mna19610218c,Firasat Ganjil yang Hanya Dirasakan Sang Jenius?

thum_dc5_mna19610220c,,dc5_mna19610220c.ks*dc5_mna19610220c_START,@dc5_mna19610220c,Garis yang Mulai Terhubung

thum_dc5_mna19610221c,,dc5_mna19610221c.ks*dc5_mna19610221c_START,@dc5_mna19610221c,Pelari Terakhir (Anchor)

thum_dc5_mna19610224c,,dc5_mna19610224c.ks*dc5_mna19610224c_START,@dc5_mna19610224c,Sekali-kali Pesta Syukuran Bersama Semuanya

thum_dc5_mna19610305b,,dc5_mna19610305b.ks*dc5_mna19610305b_START,@dc5_mna19610305b,Bersenang-senang Riang Layaknya Anak-anak

thum_dc5_mna19610312b,,dc5_mna19610312b.ks*dc5_mna19610312b_START,@dc5_mna19610312b,Pertandingan yang Terlalu Menghangatkan Hati

thum_dc5_mna19610315c,,dc5_mna19610315c.ks*dc5_mna19610315c_START,@dc5_mna19610315c,Kata-kata yang Tidak Biasa Darinya

thum_dc5_mna19610315d,,dc5_mna19610315d.ks*dc5_mna19610315d_START,@dc5_mna19610315d,Pasti Hanya Kakak

thum_dc5_mna19610317d,,dc5_mna19610317d.ks*dc5_mna19610317d_START,@dc5_mna19610317d,Sebagai Tokoh Utama dan Pahlawan Dunia

thum_dc5_mna19610318b,,dc5_mna19610318b.ks*dc5_mna19610318b_START,@dc5_mna19610318b,Di Ujung Jalan yang Terhubung ke Masa Depan

thum_dc5_gep19610333a2,,dc5_gep19610333a2.ks*dc5_gep19610333a2_START,@dc5_gep19610333a2,Mulai Sekarang Layaknya Kekasih

"#,,,,",,,,

:,Yukina,,,

thum_dc5_ykn19601102c1,,dc5_ykn19601102c1.ks*dc5_ykn19601102c1_START,@dc5_ykn19601102c1,Mantra Bintang Jatuh

thum_dc5_ykn19601102c2,,dc5_ykn19601102c2.ks*dc5_ykn19601102c2_START,@dc5_ykn19601102c2,Awal Pembukaan Lembaran Sejarah Baru

thum_dc5_ykn19601104a1,,dc5_ykn19601104a1.ks*dc5_ykn19601104a1_START,@dc5_ykn19601104a1,Itu Bagaikan Mimpi yang Dangkal

thum_dc5_ykn19601104a2,,dc5_ykn19601104a2.ks*dc5_ykn19601104a2_START,@dc5_ykn19601104a2,Fajar Pagi dan Senyuman Seperti Biasanya

thum_dc5_ykn19601104a3,,dc5_ykn19601104a3.ks*dc5_ykn19601104a3_START,@dc5_ykn19601104a3,Pernyataan Tekad

thum_dc5_ykn19601104c,,dc5_ykn19601104c.ks*dc5_ykn19601104c_START,@dc5_ykn19601104c,"Bekerjalah dengan Gagah Berani, OSIS!"

thum_dc5_ykn19601105a1,,dc5_ykn19601105a1.ks*dc5_ykn19601105a1_START,@dc5_ykn19601105a1,Sihir Itu Sungguh Luar Biasa

thum_dc5_ykn19601105b,,dc5_ykn19601105b.ks*dc5_ykn19601105b_START,@dc5_ykn19601105b,Keseriusan Tokisaka Yukina

thum_dc5_ykn19601107c,,dc5_ykn19601107c.ks*dc5_ykn19601107c_START,@dc5_ykn19601107c,"OSIS, Memulai Langkah!"

thum_dc5_ykn19601108c,,dc5_ykn19601108c.ks*dc5_ykn19601108c_START,@dc5_ykn19601108c,"OSIS, Mulai Syuting!"

thum_dc5_ykn19601109c,,dc5_ykn19601109c.ks*dc5_ykn19601109c_START,@dc5_ykn19601109c,"OSIS, Jump Ball!"

thum_dc5_ykn19601109d,,dc5_ykn19601109d.ks*dc5_ykn19601109d_START,@dc5_ykn19601109d,Lagu Anak Pengantar Tidur

thum_dc5_ykn19601113b,,dc5_ykn19601113b.ks*dc5_ykn19601113b_START,@dc5_ykn19601113b,Gadis di Balik Lensa Kamera

thum_dc5_ykn19601113d,,dc5_ykn19601113d.ks*dc5_ykn19601113d_START,@dc5_ykn19601113d,Hal yang Hanya Diketahui oleh Anoa

thum_dc5_ykn19601116a,,dc5_ykn19601116a.ks*dc5_ykn19601116a_START,@dc5_ykn19601116a,Jeritan Gadis Itu dan Kasih Sayang

thum_dc5_ykn19601116c,,dc5_ykn19601116c.ks*dc5_ykn19601116c_START,@dc5_ykn19601116c,Hitung Mundur Menuju Festival

thum_dc5_ykn19601118a,,dc5_ykn19601118a.ks*dc5_ykn19601118a_START,@dc5_ykn19601118a,"Festival Kagasai, Digelar dengan Sangat Meriah!"

thum_dc5_ykn19601118b,,dc5_ykn19601118b.ks*dc5_ykn19601118b_START,@dc5_ykn19601118b,"Wahai Pemuda dan Pemudi, Bergeraklah dengan Semangat!"

thum_dc5_ykn19601121b,,dc5_ykn19601121b.ks*dc5_ykn19601121b_START,@dc5_ykn19601121b,"Berdua Saja di Festival Kagasai, Artinya Adalah..."

thum_dc5_ykn19601121b2,,dc5_ykn19601121b2.ks*dc5_ykn19601121b2_START,@dc5_ykn19601121b2,"Film Bersuara yang Biru, Fana, dan Berkesan di Hati"

thum_dc5_ykn19601121b3,,dc5_ykn19601121b3.ks*dc5_ykn19601121b3_START,@dc5_ykn19601121b3,Kenikmatan Menonton Film: Sesi Berbagi Kesan

thum_dc5_ykn19601121c,,dc5_ykn19601121c.ks*dc5_ykn19601121c_START,@dc5_ykn19601121c,"Pria yang Menciptakan Legenda, Namanya Adalah..."

thum_dc5_ykn19601121d,,dc5_ykn19601121d.ks*dc5_ykn19601121d_START,@dc5_ykn19601121d,Agar Tidak Kalah dari Siapapun

thum_dc5_ykn19601122a1,,dc5_ykn19601122a1.ks*dc5_ykn19601122a1_START,@dc5_ykn19601122a1,Pemandangan Asli Masa Kecil

thum_dc5_ykn19601122a2,,dc5_ykn19601122a2.ks*dc5_ykn19601122a2_START,@dc5_ykn19601122a2,Titik Tengah Antara Impian dan Kebahagiaan

thum_dc5_ykn19601122a3,,dc5_ykn19601122a3.ks*dc5_ykn19601122a3_START,@dc5_ykn19601122a3,Hari-hari Penuh Kemesraan (Icha-Love Days)

thum_dc5_ykn19601122b,,dc5_ykn19601122b.ks*dc5_ykn19601122b_START,@dc5_ykn19601122b,Makan Siang yang Bahagia

thum_dc5_ykn19601127b,,dc5_ykn19601127b.ks*dc5_ykn19601127b_START,@dc5_ykn19601127b,Pemandangan Saat Berjalan Bersamanya

thum_dc5_ykn19601128a,,dc5_ykn19601128a.ks*dc5_ykn19601128a_START,@dc5_ykn19601128a,Saatnya Ujian Akhir Semester

thum_dc5_ykn19601128c,,dc5_ykn19601128c.ks*dc5_ykn19601128c_START,@dc5_ykn19601128c,Bahu Membahu Berdampingan

thum_dc5_ykn19601205a,,dc5_ykn19601205a.ks*dc5_ykn19601205a_START,@dc5_ykn19601205a,Murung? Atau Berdebar Antusias?

thum_dc5_ykn19601213c,,dc5_ykn19601213c.ks*dc5_ykn19601213c_START,@dc5_ykn19601213c,Menuju Musim Dingin yang Hangat

thum_dc5_ykn19601224b,,dc5_ykn19601224b.ks*dc5_ykn19601224b_START,@dc5_ykn19601224b,Cara Menghabiskan Malam Natal

thum_dc5_ykn19601224c,,dc5_ykn19601224c.ks*dc5_ykn19601224c_START,@dc5_ykn19601224c,Kue yang Manis dan Malam Putih Bersalju

thum_dc5_ykn19601231d,,dc5_ykn19601231d.ks*dc5_ykn19601231d_START,@dc5_ykn19601231d,"Tahun yang Berakhir, Tahun yang Disambut"

thum_dc5_ykn19610101a,,dc5_ykn19610101a.ks*dc5_ykn19610101a_START,@dc5_ykn19610101a,Kunjungan Kuil Tahun Baru yang Penuh Kesungguhan

thum_dc5_ykn19610108b,,dc5_ykn19610108b.ks*dc5_ykn19610108b_START,@dc5_ykn19610108b,Melihat Kembali Jejak Perasaan Masa Lalu

